YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2024,4,TÜRKIYE,LT,1521365.11642,57596,FALSE
2024,4,UNITED KINGDOM,EG,2893305.66336,94490,TRUE
2024,5,ALBANIA,LA,43135.94068,3090,FALSE
2024,5,ARMENIA,UD,35956.33572,1649,FALSE
2024,5,AUSTRIA,LO,243854.36508,14884,FALSE
2024,5,BELGIUM,EB,473849.82324,14267,FALSE
2024,5,BOSNIA AND HERZEGOVINA,LQ,10330.1913,969,FALSE
2024,5,BULGARIA,LB,61263.6871,3766,FALSE
2024,5,CANARY ISLANDS,GC,267598.93084,17998,FALSE
2024,5,CROATIA,LD,78030.12088,6923,FALSE
2024,5,CYPRUS,LC,102490.26128,4539,FALSE
2024,5,CZECHIA,LK,106318.82134,7075,FALSE
2024,5,DENMARK,EK,251018.51036,16107,TRUE
2024,5,ESTONIA,EE,21710.92022,2121,FALSE
2024,5,FINLAND,EF,184844.65528,8751,FALSE
2024,5,FRANCE,LF,1880070.1188,84004,FALSE
2024,5,GEORGIA,UG,57857.1212,2588,FALSE
2024,5,GERMANY,ED,2480021.89514,91601,FALSE
2024,5,GREECE,LG,547342.83188,31991,FALSE
2024,5,HUNGARY,LH,113172.3369,5944,FALSE
2024,5,ICELAND,BI,49110.46232,2172,FALSE
2024,5,IRELAND,EI,309874.91216,14324,FALSE
2024,5,ITALY,LI,1441733.57938,81393,FALSE
2024,5,KOSOVO,BK,15310.877,1076,FALSE
2024,5,LATVIA,EV,38033.61802,3043,FALSE
2024,5,LITHUANIA,EY,41841.75676,3156,FALSE
2024,5,LUXEMBOURG,EL,165446.05324,3424,FALSE
2024,5,MALTA,LM,50231.13718,3377,FALSE
2024,5,"MOLDOVA, REPUBLIC OF",LU,22616.85286,1472,FALSE
2024,5,MONACO,LN,35.09496,61,FALSE
2024,5,MONTENEGRO,LY,12912.66452,1280,FALSE
2024,5,NETHERLANDS,EH,910072.84686,28996,FALSE
2024,5,NORTH MACEDONIA,LW,14225.74972,1082,FALSE
2024,5,NORWAY,EN,234857.7049,28819,TRUE
2024,5,POLAND,EP,359717.52484,23019,FALSE
2024,5,PORTUGAL,LP,507925.34866,23166,TRUE
2024,5,ROMANIA,LR,127608.13106,9093,FALSE
2024,5,SERBIA,LY,48568.41856,3842,FALSE
2024,5,SLOVAKIA,LZ,12023.17476,1249,FALSE
2024,5,SLOVENIA,LJ,8989.06054,1186,FALSE
2024,5,SPAIN,LE,1767822.10862,87577,FALSE
2024,5,SWEDEN,ES,203759.2593,18624,FALSE
2024,5,SWITZERLAND,LS,492049.19286,21518,FALSE
2024,5,TÜRKIYE,LT,1742220.98134,65007,FALSE
2024,5,UNITED KINGDOM,EG,3179855.09424,106124,TRUE
2024,6,ALBANIA,LA,47658.56366,3425,FALSE
2024,6,ARMENIA,UD,39200.25188,1816,FALSE
2024,6,AUSTRIA,LO,254850.31192,15363,FALSE
2024,6,BELGIUM,EB,461578.86496,13976,FALSE
2024,6,BOSNIA AND HERZEGOVINA,LQ,17335.03524,1169,FALSE
2024,6,BULGARIA,LB,78309.65528,4841,FALSE
2024,6,CANARY ISLANDS,GC,267223.67742,17721,FALSE
2024,6,CROATIA,LD,99198.5162,8628,FALSE
2024,6,CYPRUS,LC,109265.49348,4892,FALSE
2024,6,CZECHIA,LK,128514.3176,8503,FALSE
2024,6,DENMARK,EK,263471.29166,16363,TRUE
2024,6,ESTONIA,EE,19048.76674,1974,FALSE
